,k,Accuracy,Balanced Accuracy,Sensitivity,Specificity,MCC,AUC,Precision,F1 Score,Removed Compounds
0,1,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
1,2,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
2,3,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
3,4,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
4,5,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
5,6,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
6,7,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
7,8,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
8,9,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
9,10,0.737,0.673,0.917,0.429,0.408,0.673,0.733,0.716,3
