,source,target,weight
0,Cholic acid,Ursodexycholic acid,0.7777777777777778
1,Cholic acid,Obeticholic acid,0.5230769230769231
2,Cholic acid,Aramchol,0.6865671641791045
3,Acetaminophen,BPA,0.3333333333333333
4,Palmitoleic acid,Oleic acid,1.0
5,Palmitoleic acid,10-nitrooleic acid,0.5714285714285714
6,Palmitoleic acid,Lipoic acid,0.3157894736842105
7,Oleic acid,10-nitrooleic acid,0.5714285714285714
8,Oleic acid,Lipoic acid,0.3157894736842105
9,PCB 126,Aroclor 1260,0.3333333333333333
10,Streptozotocin,Glucose,0.40540540540540543
11,Methionine,MSG,0.3125
12,Orotic acid,Gallic acid,0.3103448275862069
13,Sucrose,Glucose,0.4
14,Ursodexycholic acid,Obeticholic acid,0.6666666666666666
15,Ursodexycholic acid,Aramchol,0.5352112676056338
16,Exenatide,Liraglutide,0.5759162303664922
17,Obeticholic acid,Aramchol,0.4
18,Rosiglitazone,Pioglitazone,0.5245901639344263
19,Silibinin,Silymarin,1.0
20,Silibinin,Naringenin,0.3333333333333333
21,Silibinin,Dihydromyricetin,0.4915254237288136
22,Curcumin,Chlorogenic acid,0.3103448275862069
23,Silymarin,Naringenin,0.3333333333333333
24,Silymarin,Dihydromyricetin,0.4915254237288136
25,Bavachinin,Naringenin,0.43103448275862066
26,Epigallocatechin gallate,Naringenin,0.3103448275862069
27,Epigallocatechin gallate,Dihydromyricetin,0.4339622641509434
28,Quercetin,Chrysin,0.43478260869565216
29,Naringenin,Dihydromyricetin,0.4166666666666667
