,BACC,Accuracy,Sensitivity,Specificity,MCC,AUC,Precision,F1 Score
yat_pred_rf,0.818,0.849,1.0,0.636,0.711,0.818,0.795,0.886
yac_pred_rf,0.909,0.925,1.0,0.818,0.851,0.909,0.886,0.939
ycn_pred_rf,0.961,0.962,0.968,0.955,0.922,0.961,0.968,0.968
yce_pred_rf,0.938,0.943,0.968,0.909,0.883,0.938,0.938,0.952
ycd_pred_rf,0.955,0.962,1.0,0.909,0.924,0.955,0.939,0.969
yes_pred_rf,0.864,0.887,1.0,0.727,0.781,0.864,0.838,0.912
yke_pred_rf,0.864,0.887,1.0,0.727,0.781,0.864,0.838,0.912
ykc_pred_rf,0.864,0.887,1.0,0.727,0.781,0.864,0.838,0.912
yma_pred_rf,0.955,0.962,1.0,0.909,0.924,0.955,0.939,0.969
ypc_pred_rf,0.932,0.943,1.0,0.864,0.887,0.932,0.912,0.954
yss_pred_rf,0.841,0.868,1.0,0.682,0.746,0.841,0.816,0.899
ysc_pred_rf,0.841,0.868,1.0,0.682,0.746,0.841,0.816,0.899
yat_pred_svc,0.711,0.755,0.968,0.455,0.513,0.711,0.714,0.822
yac_pred_svc,0.545,0.623,1.0,0.091,0.235,0.545,0.608,0.756
ycn_pred_svc,0.932,0.943,1.0,0.864,0.887,0.932,0.912,0.954
yce_pred_svc,0.932,0.943,1.0,0.864,0.887,0.932,0.912,0.954
ycd_pred_svc,0.773,0.811,1.0,0.545,0.642,0.773,0.756,0.861
yes_pred_svc,0.773,0.811,1.0,0.545,0.642,0.773,0.756,0.861
yke_pred_svc,0.795,0.83,1.0,0.591,0.677,0.795,0.775,0.873
ykc_pred_svc,0.523,0.604,1.0,0.045,0.165,0.523,0.596,0.747
yma_pred_svc,0.841,0.868,1.0,0.682,0.746,0.841,0.816,0.899
ypc_pred_svc,0.773,0.811,1.0,0.545,0.642,0.773,0.756,0.861
yss_pred_svc,0.773,0.811,1.0,0.545,0.642,0.773,0.756,0.861
ysc_pred_svc,0.523,0.604,1.0,0.045,0.165,0.523,0.596,0.747
yat_pred_xgb,0.984,0.981,0.968,1.0,0.962,0.984,1.0,0.984
yac_pred_xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ycn_pred_xgb,0.977,0.981,1.0,0.955,0.962,0.977,0.969,0.984
yce_pred_xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ycd_pred_xgb,0.955,0.962,1.0,0.909,0.924,0.955,0.939,0.969
yes_pred_xgb,0.932,0.943,1.0,0.864,0.887,0.932,0.912,0.954
yke_pred_xgb,0.961,0.962,0.968,0.955,0.922,0.961,0.968,0.968
ykc_pred_xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yma_pred_xgb,0.977,0.981,1.0,0.955,0.962,0.977,0.969,0.984
ypc_pred_xgb,0.977,0.981,1.0,0.955,0.962,0.977,0.969,0.984
yss_pred_xgb,0.955,0.962,1.0,0.909,0.924,0.955,0.939,0.969
ysc_pred_xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
y_pred_stacked,0.591,0.66,1.0,0.182,0.339,0.591,0.633,0.775
