Name,yat_pred_rf,ypc_pred_lr,ycd_pred_xgb,ycn_pred_lr,yma_pred_rf
Thioacetamide,0,0,1,0,0
Palmitoleic acid,0,0,0,0,0
Oleic acid,0,0,0,0,0
10-nitrooleic acid,0,0,1,0,0
Diethylnitrosamine,0,0,0,0,1
Carbon tetrachloride,0,0,0,0,1
Methionine,1,1,1,0,0
MSG,1,1,1,0,0
PFOS,0,1,0,0,1
Alanyl-glutamine,1,0,1,0,1
TMAO,0,0,0,0,0
Sodium Butyrate,1,1,1,1,0
Metformin,1,1,0,1,1
Sulforaphane,1,1,1,1,1
Taurine,1,1,1,1,1
Clodronate,1,0,0,0,1
T0901317,0,0,0,0,1
Rapamycin,0,0,0,0,0
Bavachinin,0,0,0,0,0
Naringenin,0,0,0,0,0
Dihydromyricetin,0,0,0,0,0
Elafibranor,0,0,0,0,0
TCDD,0,0,1,0,1
Rosiglitazone,1,0,1,0,1
Citicoline,0,0,0,0,0
Gemigliptin,1,0,0,0,0
Geniposide,0,0,0,0,0
Scoparone,0,0,0,0,0
Berberine,0,0,0,0,0
Tamoxifen,0,0,1,0,0
PCB 126,0,0,1,0,1
Aroclor 1260,0,0,1,0,1
Tetracycline,0,0,0,0,0
Streptozotocin,0,1,1,0,0
Glucose,0,0,1,0,0
Fructose,0,0,1,0,0
