Name,yat_pred_rf,ypc_pred_lr,ycd_pred_xgb,ycn_pred_lr,yma_pred_rf
Thioacetamide,1,1,1,0,1
Palmitoleic acid,0,0,0,0,0
Oleic acid,0,0,0,0,0
10-nitrooleic acid,1,1,1,0,1
Diethylnitrosamine,1,1,1,0,1
Carbon tetrachloride,1,1,1,0,1
Methionine,1,1,1,0,1
MSG,1,1,1,0,1
PFOS,1,1,1,0,1
Alanyl-glutamine,0,0,0,0,0
TMAO,0,0,0,0,0
Sodium Butyrate,0,0,0,0,0
Metformin,0,0,0,0,0
Sulforaphane,0,0,0,0,0
Taurine,0,0,0,0,0
Clodronate,0,0,0,0,0
T0901317,1,1,1,0,1
Rapamycin,0,0,0,0,0
Bavachinin,0,0,0,0,0
Naringenin,0,0,0,0,0
Dihydromyricetin,0,0,0,0,0
Elafibranor,0,0,0,0,0
TCDD,1,1,1,0,1
Rosiglitazone,0,0,0,0,0
Citicoline,0,0,0,0,0
Gemigliptin,0,0,0,0,0
Geniposide,0,0,0,0,0
Scoparone,0,0,0,0,0
Berberine,0,0,0,0,0
Tamoxifen,1,1,1,0,1
PCB 126,1,1,1,0,1
Aroclor 1260,1,1,1,0,1
Tetracycline,1,1,1,0,1
Streptozotocin,1,1,1,0,1
Glucose,1,1,1,0,1
Fructose,1,1,1,0,1
