,source,target,weight
0,Cholic acid,Ursodexycholic acid,0.3691275167785235
1,Cholic acid,Obeticholic acid,0.23529411764705882
2,Cholic acid,Aramchol,0.4095238095238095
3,Acetaminophen,Tyloxapol,0.2127659574468085
4,Acetaminophen,BPA,0.23255813953488372
5,Tyloxapol,BPA,0.36585365853658536
6,Palmitoleic acid,Oleic acid,0.6962025316455697
7,Palmitoleic acid,10-nitrooleic acid,0.25806451612903225
8,Oleic acid,10-nitrooleic acid,0.27419354838709675
9,Carbon tetrachloride,Clodronate,0.23076923076923078
10,Streptozotocin,Glucose,0.25806451612903225
11,Methionine,MSG,0.28205128205128205
12,Methionine,Alanyl-glutamine,0.24
13,MSG,Alanyl-glutamine,0.21568627450980393
14,MSG,Sodium Butyrate,0.25
15,Orotic acid,Gallic acid,0.25
16,Sucrose,Glucose,0.234375
17,Ursodexycholic acid,Obeticholic acid,0.37333333333333335
18,Exendin,Liraglutide,0.270066889632107
19,Silybin,Silymarin,1.0
20,Silybin,Dihydromyricetin,0.3103448275862069
21,Silymarin,Dihydromyricetin,0.3103448275862069
22,Bavachinin,Naringenin,0.25
23,Pioglitazone,Dimethoxycoumarin,1.0
24,Epigallocatechin gallate,Dihydromyricetin,0.2222222222222222
25,Quercetin,Chrysin,0.25263157894736843
26,Naringenin,Dihydromyricetin,0.24242424242424243
