,AD2D,AP2DC,CDK,CDKExt,CDKGraph,Combined,EState,KRFP,KRFPC,MACCS,PubChem,SubFP,SubFPC
AD2D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11105737877651044,0.11814362723246649,1.0,1.0,0.08114755592177117,0.08645519151403662
AP2DC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDKExt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9938886004518056,1.0,1.0,1.0,0.7695363236200944,0.810411283727048
CDKGraph,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EState,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFP,0.11105737877651044,1.0,1.0,0.9938886004518056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFPC,0.11814362723246649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MACCS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PubChem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFP,0.08114755592177117,1.0,1.0,0.7695363236200944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFPC,0.08645519151403662,1.0,1.0,0.810411283727048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
