,AD2D,AP2DC,CDK,CDKExt,CDKGraph,Combined,EState,KRFP,KRFPC,MACCS,PubChem,SubFP,SubFPC
AD2D,1.0,0.7599424679930743,1.0,0.0962088040239585,1.0,0.029579628969137392,1.0,0.2837892360505576,1.0,1.0,1.0,0.008240654577239138,1.0
AP2DC,0.7599424679930743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDKExt,0.0962088040239585,1.0,1.0,1.0,0.2837892360505576,1.0,1.0,1.0,1.0,1.0,0.7599424679930743,1.0,1.0
CDKGraph,1.0,1.0,1.0,0.2837892360505576,1.0,0.0962088040239585,1.0,0.7599424679930743,1.0,1.0,1.0,0.029579628969137392,1.0
Combined,0.029579628969137392,1.0,1.0,1.0,0.0962088040239585,1.0,1.0,1.0,0.7599424679930743,1.0,0.2837892360505576,1.0,1.0
EState,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFP,0.2837892360505576,1.0,1.0,1.0,0.7599424679930743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFPC,1.0,1.0,1.0,1.0,1.0,0.7599424679930743,1.0,1.0,1.0,1.0,1.0,0.2837892360505576,1.0
MACCS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PubChem,1.0,1.0,1.0,0.7599424679930743,1.0,0.2837892360505576,1.0,1.0,1.0,1.0,1.0,0.0962088040239585,1.0
SubFP,0.008240654577239138,1.0,1.0,1.0,0.029579628969137392,1.0,1.0,1.0,0.2837892360505576,1.0,0.0962088040239585,1.0,0.7599424679930743
SubFPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7599424679930743,1.0
