,AD2D,AP2DC,CDK,CDKExt,CDKGraph,Combined,EState,KRFP,KRFPC,MACCS,PubChem,SubFP,SubFPC
AD2D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06725768384704904,0.08155802916424448,1.0,1.0,0.21775609744277713,0.7030182033286454
AP2DC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24486162356995922,0.29131714795694474,1.0,1.0,0.7030182033286461,1.0
CDKExt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6323471796689443,0.7409322851426973,1.0,1.0,1.0,1.0
CDKGraph,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EState,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFP,0.06725768384704904,1.0,0.24486162356995922,0.6323471796689443,1.0,1.0,1.0,1.0,1.0,0.27500981944399905,1.0,1.0,1.0
KRFPC,0.08155802916424448,1.0,0.29131714795694474,0.7409322851426973,1.0,1.0,1.0,1.0,1.0,0.326595645111723,1.0,1.0,1.0
MACCS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27500981944399905,0.326595645111723,1.0,1.0,0.7806593651668805,1.0
PubChem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFP,0.21775609744277713,1.0,0.7030182033286461,1.0,1.0,1.0,1.0,1.0,1.0,0.7806593651668805,1.0,1.0,1.0
SubFPC,0.7030182033286454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
