,AD2D,AP2DC,CDK,CDKExt,CDKGraph,Combined,EState,KRFP,KRFPC,MACCS,PubChem,SubFP,SubFPC
AD2D,1.0,0.015178177946413114,1.0,1.0,1.0,1.0,1.0,0.2765940125495473,0.2765940125495473,1.0,1.0,1.0,0.052189031103361073
AP2DC,0.015178177946413114,1.0,0.015178177946413114,0.2765940125495473,1.0,0.7443710256796316,0.09325145523306554,1.0,1.0,1.0,1.0,1.0,1.0
CDK,1.0,0.015178177946413114,1.0,1.0,1.0,1.0,1.0,0.2765940125495473,0.2765940125495473,1.0,1.0,1.0,0.052189031103361073
CDKExt,1.0,0.2765940125495473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7443710256796316
CDKGraph,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined,1.0,0.7443710256796316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EState,1.0,0.09325145523306554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2765940125495473
KRFP,0.2765940125495473,1.0,0.2765940125495473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFPC,0.2765940125495473,1.0,0.2765940125495473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MACCS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PubChem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFPC,0.052189031103361073,1.0,0.052189031103361073,0.7443710256796316,1.0,1.0,0.2765940125495473,1.0,1.0,1.0,1.0,1.0,1.0
