,AD2D,AP2DC,CDK,CDKExt,CDKGraph,Combined,EState,KRFP,KRFPC,MACCS,PubChem,SubFP,SubFPC
AD2D,1.0,1.0,1.0,0.043737756692010056,1.0,0.24224319651224638,0.6689169445388083,1.0,1.0,1.0,1.0,0.043737756692010056,1.0
AP2DC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6689169445388083,1.0,1.0
CDK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDKExt,0.043737756692010056,1.0,1.0,1.0,0.24224319651224638,1.0,1.0,1.0,1.0,0.24224319651224638,0.012306997804444351,1.0,1.0
CDKGraph,1.0,1.0,1.0,0.24224319651224638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24224319651224638,1.0
Combined,0.24224319651224638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07936470811234266,1.0,1.0
EState,0.6689169445388083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24224319651224638,1.0,1.0
KRFP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MACCS,1.0,1.0,1.0,0.24224319651224638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24224319651224638,1.0
PubChem,1.0,0.6689169445388083,1.0,0.012306997804444351,1.0,0.07936470811234266,0.24224319651224638,1.0,1.0,1.0,1.0,0.012306997804444351,1.0
SubFP,0.043737756692010056,1.0,1.0,1.0,0.24224319651224638,1.0,1.0,1.0,1.0,0.24224319651224638,0.012306997804444351,1.0,1.0
SubFPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
