,AD2D,AP2DC,CDK,CDKExt,CDKGraph,Combined,EState,KRFP,KRFPC,MACCS,PubChem,SubFP,SubFPC
AD2D,1.0,1.0,0.7213124762879706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AP2DC,1.0,1.0,0.014269795524765864,0.08892894919772766,1.0,0.08892894919772766,0.7213124762879706,1.0,1.0,1.0,1.0,0.7213124762879706,1.0
CDK,0.7213124762879706,0.014269795524765864,1.0,1.0,0.014269795524765864,1.0,1.0,1.0,0.15571223747121876,1.0,1.0,1.0,0.15571223747121876
CDKExt,1.0,0.08892894919772766,1.0,1.0,0.08892894919772766,1.0,1.0,1.0,0.7213124762879706,1.0,1.0,1.0,0.7213124762879706
CDKGraph,1.0,1.0,0.014269795524765864,0.08892894919772766,1.0,0.08892894919772766,0.7213124762879706,1.0,1.0,1.0,1.0,0.7213124762879706,1.0
Combined,1.0,0.08892894919772766,1.0,1.0,0.08892894919772766,1.0,1.0,1.0,0.7213124762879706,1.0,1.0,1.0,0.7213124762879706
EState,1.0,0.7213124762879706,1.0,1.0,0.7213124762879706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFPC,1.0,1.0,0.15571223747121876,0.7213124762879706,1.0,0.7213124762879706,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MACCS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PubChem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFP,1.0,0.7213124762879706,1.0,1.0,0.7213124762879706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFPC,1.0,1.0,0.15571223747121876,0.7213124762879706,1.0,0.7213124762879706,1.0,1.0,1.0,1.0,1.0,1.0,1.0
