,AD2D,AP2DC,CDK,CDKExt,CDKGraph,Combined,EState,KRFP,KRFPC,MACCS,PubChem,SubFP,SubFPC
AD2D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24224319651224638,1.0,0.24224319651224638,1.0,0.24224319651224638,0.023498829850744873
AP2DC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24224319651224638,1.0,0.24224319651224638,1.0,0.24224319651224638,0.023498829850744873
CDK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24224319651224638,1.0,0.24224319651224638,1.0,0.24224319651224638,0.023498829850744873
CDKExt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6689169445388083
CDKGraph,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6689169445388083
EState,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFP,0.24224319651224638,0.24224319651224638,0.24224319651224638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6689169445388083
MACCS,0.24224319651224638,0.24224319651224638,0.24224319651224638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PubChem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFP,0.24224319651224638,0.24224319651224638,0.24224319651224638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFPC,0.023498829850744873,0.023498829850744873,0.023498829850744873,0.6689169445388083,1.0,0.6689169445388083,1.0,1.0,0.6689169445388083,1.0,1.0,1.0,1.0
