,BACC,Sensitivity,Specificity,MCC,AUC,Precision,F1 Score,Fold,Accuracy
yat_pred_rf_fold1,0.611,0.889,0.333,0.272,0.611,0.667,0.762,1.0,
yat_pred_rf_fold2,0.417,0.667,0.167,-0.185,0.417,0.545,0.6,2.0,
yat_pred_rf_fold3,0.389,0.778,0.0,-0.32,0.389,0.538,0.636,3.0,
yat_pred_rf_fold4,0.528,0.556,0.5,0.055,0.528,0.625,0.588,4.0,
yat_pred_rf_fold5,0.389,0.778,0.0,-0.32,0.389,0.538,0.636,5.0,
yac_pred_rf_fold1,0.639,0.778,0.5,0.289,0.639,0.7,0.737,1.0,
yac_pred_rf_fold2,0.556,0.778,0.333,0.123,0.556,0.636,0.7,2.0,
yac_pred_rf_fold3,0.444,0.889,0.0,-0.218,0.444,0.571,0.696,3.0,
yac_pred_rf_fold4,0.611,0.556,0.667,0.218,0.611,0.714,0.625,4.0,
yac_pred_rf_fold5,0.444,0.889,0.0,-0.218,0.444,0.571,0.696,5.0,
ycn_pred_rf_fold1,0.639,0.778,0.5,0.289,0.639,0.7,0.737,1.0,
ycn_pred_rf_fold2,0.583,0.667,0.5,0.167,0.583,0.667,0.667,2.0,
ycn_pred_rf_fold3,0.583,1.0,0.167,0.327,0.583,0.643,0.783,3.0,
ycn_pred_rf_fold4,0.528,0.556,0.5,0.055,0.528,0.625,0.588,4.0,
ycn_pred_rf_fold5,0.583,0.667,0.5,0.167,0.583,0.667,0.667,5.0,
yce_pred_rf_fold1,0.5,0.667,0.333,0.0,0.5,0.6,0.632,1.0,
yce_pred_rf_fold2,0.556,0.778,0.333,0.123,0.556,0.636,0.7,2.0,
yce_pred_rf_fold3,0.583,1.0,0.167,0.327,0.583,0.643,0.783,3.0,
yce_pred_rf_fold4,0.611,0.556,0.667,0.218,0.611,0.714,0.625,4.0,
yce_pred_rf_fold5,0.667,0.667,0.667,0.327,0.667,0.75,0.706,5.0,
ycd_pred_rf_fold1,0.583,1.0,0.167,0.327,0.583,0.643,0.783,1.0,
ycd_pred_rf_fold2,0.556,0.778,0.333,0.123,0.556,0.636,0.7,2.0,
ycd_pred_rf_fold3,0.5,1.0,0.0,0.0,0.5,0.6,0.75,3.0,
ycd_pred_rf_fold4,0.5,0.667,0.333,0.0,0.5,0.6,0.632,4.0,
ycd_pred_rf_fold5,0.528,0.889,0.167,0.08,0.528,0.615,0.727,5.0,
yes_pred_rf_fold1,0.583,1.0,0.167,0.327,0.583,0.643,0.783,1.0,
yes_pred_rf_fold2,0.5,0.667,0.333,0.0,0.5,0.6,0.632,2.0,
yes_pred_rf_fold3,0.5,1.0,0.0,0.0,0.5,0.6,0.75,3.0,
