,BACC,Accuracy,Sensitivity,Specificity,MCC,AUC,Precision,F1 Score
yat_pred_rf,0.817,0.853,1.0,0.633,0.713,0.817,0.804,0.891
yac_pred_rf,0.9,0.92,1.0,0.8,0.84,0.9,0.882,0.938
ycn_pred_rf,0.978,0.973,0.956,1.0,0.946,0.978,1.0,0.977
yce_pred_rf,0.95,0.947,0.933,0.967,0.891,0.95,0.977,0.955
ycd_pred_rf,0.917,0.933,1.0,0.833,0.866,0.917,0.9,0.947
yes_pred_rf,0.883,0.907,1.0,0.767,0.815,0.883,0.865,0.928
yke_pred_rf,0.867,0.893,1.0,0.733,0.789,0.867,0.849,0.918
ykc_pred_rf,0.85,0.88,1.0,0.7,0.764,0.85,0.833,0.909
yma_pred_rf,0.967,0.973,1.0,0.933,0.945,0.967,0.957,0.978
ypc_pred_rf,0.956,0.96,0.978,0.933,0.917,0.956,0.957,0.967
yss_pred_rf,0.8,0.84,1.0,0.6,0.688,0.8,0.789,0.882
ysc_pred_rf,0.839,0.867,0.978,0.7,0.729,0.839,0.83,0.898
yat_pred_svc,0.667,0.733,1.0,0.333,0.48,0.667,0.692,0.818
yac_pred_svc,0.517,0.613,1.0,0.033,0.142,0.517,0.608,0.756
ycn_pred_svc,0.9,0.893,0.867,0.933,0.787,0.9,0.951,0.907
yce_pred_svc,0.9,0.907,0.933,0.867,0.805,0.9,0.913,0.923
ycd_pred_svc,0.75,0.8,1.0,0.5,0.612,0.75,0.75,0.857
yes_pred_svc,0.8,0.827,0.933,0.667,0.637,0.8,0.808,0.866
yke_pred_svc,0.8,0.84,1.0,0.6,0.688,0.8,0.789,0.882
ykc_pred_svc,0.517,0.613,1.0,0.033,0.142,0.517,0.608,0.756
yma_pred_svc,0.9,0.92,1.0,0.8,0.84,0.9,0.882,0.938
ypc_pred_svc,0.844,0.853,0.889,0.8,0.693,0.844,0.87,0.879
yss_pred_svc,0.767,0.813,1.0,0.533,0.638,0.767,0.763,0.865
ysc_pred_svc,0.517,0.613,1.0,0.033,0.142,0.517,0.608,0.756
yat_pred_xgb,0.989,0.987,0.978,1.0,0.973,0.989,1.0,0.989
yac_pred_xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ycn_pred_xgb,0.983,0.987,1.0,0.967,0.972,0.983,0.978,0.989
yce_pred_xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ycd_pred_xgb,0.972,0.973,0.978,0.967,0.944,0.972,0.978,0.978
yes_pred_xgb,0.944,0.947,0.956,0.933,0.889,0.944,0.956,0.956
yke_pred_xgb,0.972,0.973,0.978,0.967,0.944,0.972,0.978,0.978
ykc_pred_xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yma_pred_xgb,0.983,0.987,1.0,0.967,0.972,0.983,0.978,0.989
ypc_pred_xgb,0.983,0.987,1.0,0.967,0.972,0.983,0.978,0.989
yss_pred_xgb,0.967,0.973,1.0,0.933,0.945,0.967,0.957,0.978
ysc_pred_xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
y_pred_stacked,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
