Name,class
Dihydrotestosterone,0
Dexamethasone,0
Ochratoxin A,0
Cholic acid,0
Tunicamycin,0
Acetaminophen,0
BPA,0
Thioacetamide,0
Tamoxifen,0
Olanzapine,0
Palmitoleic acid,1
Oleic acid,1
10-nitrooleic acid,0
LPS,0
Diethylnitrosamine,0
Carbon tetrachloride,0
TCDD,0
PCB 126,0
Aroclor 1260,0
Tetracycline,0
Streptozotocin,0
Methionine,0
MSG,0
Orotic acid,0
PFOS,0
Sucrose,0
Glucose,0
Fructose,0
Microcystin-LR,0
Doxorubicin,0
T0901317,0
Diosgenin,1
Pirfenidone,1
Ursodexycholic acid,1
Alanyl-glutamine,1
TMAO,1
Vitamin D3,1
Fucoxanthin,1
Gypenosides,1
Atorvastatin,1
Exenatide,1
Obeticholic acid,1
Sodium Butyrate,1
Liraglutide,1
Aramchol,1
Metformin,1
Rosiglitazone,1
Caffeine,1
Rapamycin,1
Geniposide,1
Silibinin,1
Curcumin,1
Silymarin,1
Bavachinin,1
Pioglitazone,1
Scoparone,1
Melatonin,1
Berberine,1
Sulforaphane,1
Elafibranor,1
Gemigliptin,1
Taurine,1
Chlorogenic acid,1
Gallic acid,1
Lipoic acid,0
Epigallocatechin gallate,1
Allopurinol,1
Quercetin,1
Naringenin,1
Dihydromyricetin,1
Chrysin,1
Clodronate,1
Empagliflozin,1
Resveratrol,1
Citicoline,1
