Name,RF_AP2DC,SVM_AP2DC,XGB_AP2DC,RF_AD2D,SVM_AD2D,XGB_AD2D,RF_EState,SVM_EState,XGB_EState,RF_CDKExt,SVM_CDKExt,XGB_CDKExt,RF_CDK,SVM_CDK,XGB_CDK,RF_CDKGraph,SVM_CDKGraph,XGB_CDKGraph,RF_KRFPC,SVM_KRFPC,XGB_KRFPC,RF_KRFP,SVM_KRFP,XGB_KRFP,RF_MACCS,SVM_MACCS,XGB_MACCS,RF_PubChem,SVM_PubChem,XGB_PubChem,RF_SubFPC,SVM_SubFPC,XGB_SubFPC,RF_SubFP,SVM_SubFP,XGB_SubFP,RF_Combined,SVM_Combined,XGB_Combined
Dihydrotestosterone,0.6829490043239236,0.5695404346994194,0.9094099998474121,0.6826379676723389,0.6020158144071245,0.3216477334499359,0.6325451562644149,0.7074348232784144,0.45026615262031555,0.5049405918634733,0.5916791023239633,0.7716658115386963,0.5299512238151253,0.5948466462541022,0.25254201889038086,0.6737683622446751,0.6450825152995613,0.6277503371238708,0.5954457273969939,0.6204119459726947,0.6794096231460571,0.6645057250498023,0.615540755525455,0.9790686368942261,0.6475457665837707,0.7459548916617492,0.3682873547077179,0.7077856040429369,0.6608092864558186,0.2868785858154297,0.6500538399985245,0.5919191773877681,0.44939783215522766,0.6124942011128349,0.5149564375406965,0.37069082260131836,0.4860693877516403,0.5999429261858169,0.9074990153312683
Dexamethasone,0.6870296241751865,0.573068043238337,0.5640616416931152,0.7078132912685764,0.6785889476676684,0.8252329230308533,0.7454719402402631,0.6719231814685378,0.9198799729347229,0.6629837991586779,0.6156321828531276,0.1966128945350647,0.6535396110044218,0.6591866581244089,0.33917859196662903,0.664791900898466,0.6771619564603486,0.6931653618812561,0.623107571889362,0.6048303937470799,0.9760792851448059,0.6325170264942058,0.6721417132147891,0.8668121099472046,0.6186497114237178,0.7223805993174329,0.9865341186523438,0.6874066341246656,0.673414284890029,0.9488546848297119,0.6697585329003881,0.6035941325840475,0.9694038033485413,0.6262102150867973,0.5981165082547235,0.4777277112007141,0.6323449713624636,0.8155273010063161,0.9656864404678345
Ochratoxin A,0.6625644413475701,0.5733740282416431,0.8015352487564087,0.511562049983918,0.6386629619644058,0.9635682106018066,0.6337599329970974,0.62057103596576,0.5856279730796814,0.6376931663325773,0.6387130967959338,0.8824424147605896,0.626192862735383,0.6195224267264171,0.9746520519256592,0.5504340532312207,0.5912125255419379,0.5538769960403442,0.636817685913782,0.6149765592857711,0.9087923765182495,0.5934380899403353,0.5882537261980846,0.4962550401687622,0.5663818684917473,0.6020867762261168,0.9628358483314514,0.6191455954585322,0.6199179964620762,0.36221760511398315,0.6442982108547899,0.6021021661367499,0.37286898493766785,0.5651624794809006,0.7058004619614441,0.9897392392158508,0.5622087252640022,0.7019119133605844,0.7481832504272461
Cholic acid,0.6968732305594572,0.5718069206831027,0.9520468711853027,0.7018142168744856,0.5583278879146341,0.9447405338287354,0.6200169650431715,0.7074348232784144,0.5371518731117249,0.45814936296535363,0.6151905672936708,0.8994476795196533,0.48661265033960655,0.5222543130173647,0.8488730192184448,0.6458209226626677,0.6814108458201437,0.9402319192886353,0.678517691540816,0.6171281800682259,0.9542756676673889,0.6553432848147844,0.6389179233680895,0.967577338218689,0.6664575383539066,0.7763728739355213,0.9604560732841492,0.6693449112534338,0.4111287243965569,0.9405899047851562,0.653973649833572,0.5906498935435666,0.634893000125885,0.6091860208583528,0.43106334835802396,0.7087552547454834,0.5433729976743927,0.4412073399965706,0.8324875235557556
Tunicamycin,0.721609580189655,0.5727262460058662,0.9520468711853027,0.6302402647545591,0.614659996257166,0.04328562319278717,0.8150049763765519,0.6463908926671542,0.9634657502174377,0.6520483673805922,0.6453545481550977,0.37777891755104065,0.6699023152728448,0.6360210241021189,0.9650726318359375,0.5148160359013294,0.4867448244616561,0.3235606551170349,0.6059406038862313,0.6401605314626919,0.35296353697776794,0.5084448450984966,0.6119835222674275,0.9545834064483643,0.5071226788658475,0.617230857062046,0.19270260632038116,0.6411743860902506,0.5930733243862598,0.44215038418769836,0.6618374415899138,0.6284409947182885,0.8851287961006165,0.7038497624189017,0.6594558246741572,0.8299806118011475,0.714914699329841,0.5991213308872883,0.825667679309845
Acetaminophen,0.6447293943492782,0.5897876150437774,0.8260726928710938,0.6247722788969559,0.5832344317708797,0.9719569087028503,0.6572340538967231,0.7002548941028466,0.941541850566864,0.5728857679446439,0.5551336326342203,0.8395043015480042,0.5660148496418895,0.5502386497927255,0.981562077999115,0.562440298874133,0.5660571473271846,0.10687001794576645,0.637398808432041,0.6319407488067995,0.7744728922843933,0.6188301810609318,0.6121714230425825,0.8553366661071777,0.5759594580200806,0.6005035225165715,0.9581758379936218,0.5519947398902711,0.5929221672409762,0.9486166834831238,0.5647112569107571,0.5973104641294391,0.15812337398529053,0.6050370365611082,0.6198489863106175,0.238758385181427,0.5439344823026155,0.6003397777814866,0.48844924569129944
BPA,0.6683617884117348,0.5750947377366015,0.9542209506034851,0.6352848598372127,0.6691177598417035,0.23884831368923187,0.5493021351990753,0.5365214679065591,0.22525331377983093,0.5537533568341935,0.5288151999478401,0.2560425400733948,0.5430318070024712,0.5,0.9006574153900146,0.6269281623385679,0.6349650599344638,0.699866533279419,0.6411578479751843,0.6131355639939023,0.7182507514953613,0.5894788267731678,0.5914425609888049,0.5557987093925476,0.562237047753751,0.5778636553224353,0.45337945222854614,0.6080083831435665,0.5879638410933428,0.7603660821914673,0.5508964200907105,0.6291049396238164,0.3469056189060211,0.5789628680088414,0.4535478592404644,0.23680011928081512,0.5439689328209942,0.6454114569979503,0.7410627603530884
Thioacetamide,0.6333735045868965,0.5990093994281129,0.8168392181396484,0.5305539688910601,0.5978673819445586,0.10887225717306137,0.6781862788064507,0.6113167832958566,0.8927296996116638,0.5695824946622117,0.5,0.4436068832874298,0.5162823379157149,0.673894698142226,0.7470995187759399,0.5624301925093704,0.6199735210271895,0.4150351881980896,0.604961424699661,0.6193719346835154,0.7823077440261841,0.6235715500138154,0.6078205520292426,0.9557697772979736,0.46507367196673277,0.4484615507142717,0.33075737953186035,0.4807347962722004,0.5811088413657711,0.7019891738891602,0.5386345235587692,0.6190028879903756,0.37572500109672546,0.4893038926282812,0.7690650772706115,0.2859824299812317,0.546841381427564,0.6022973413245076,0.7963202595710754
Tamoxifen,0.6443376736376202,0.5686948933312004,0.3688777685165405,0.5234113675232833,0.6088091634620736,0.285674512386322,0.5673997291479859,0.6036063488841151,0.5811876654624939,0.6411055022264641,0.6436370158334064,0.5480600595474243,0.6243902465876496,0.5921375621300414,0.9709208011627197,0.6639765422612188,0.6639597335973063,0.5713670253753662,0.651887749284365,0.6110867270807693,0.7057676911354065,0.7018130047900497,0.6351659855335254,0.9932706952095032,0.7272742399452323,0.6746404071621234,0.7561025619506836,0.6703428773806864,0.6463388332403305,0.9930288195610046,0.6683514152067093,0.6346407564003901,0.8882537484169006,0.6038151540094767,0.641590156960383,0.9957553148269653,0.6001506462206325,0.6109845641851042,0.975807785987854
Olanzapine,0.7040557139326343,0.5689403900520452,0.544992983341217,0.6434526485431395,0.6033014989539729,0.8535255789756775,0.4428398114933949,0.5526413628126469,0.3554040193557739,0.6726269987900312,0.6485263424806575,0.7087053656578064,0.725365411979631,0.6109140106934933,0.8108645081520081,0.6277059459110239,0.5698706786078898,0.9483437538146973,0.6334394500367277,0.6638304162112844,0.7642698884010315,0.6078092344421218,0.6259867420797783,0.8536050915718079,0.6517425332595824,0.6284716200095319,0.8861637711524963,0.5904285768317269,0.6472986035991612,0.9599268436431885,0.46707430806546296,0.6328419602329567,0.04325084388256073,0.5406177578505956,0.6012774533498352,0.1054428368806839,0.6901360504691328,0.5981179755623798,0.6815841794013977
